Time,Deck A,Deck B,A Mull,B Mull,A Hand,B Hand,Notes,Winner,A Ink,A Lore,B Ink,B Lore,A End,B End
2025-09-08T16:42:02.382680,Blurple 1.0,ChromeDogs,6,6,neutral,neutral,Play around elsa taps,DeckA,3,20,3,5,neutral,neutral
2025-09-08T16:45:17.338642,ChromeDogs,Blurple 1.0,0,0,neutral,neutral,"T4 Dumped 6 cards, T5 Win",DeckA,5,20,4,0,neutral,neutral
2025-09-08T16:49:39.803247,Blurple 1.0,ChromeDogs,5,0,neutral,neutral,"Flooded board, let them die, drew and refilled",DeckB,3,3,3,20,neutral,neutral
2025-09-08T16:53:05.877947,Blurple 1.0,ChromeDogs,6,0,good,good,Mim Elephant Shuts K.O. GoDogs | Cannot Handle Mim Elephant,DeckA,3,20,3,13,good,good
2025-09-08T16:54:42.955582,ChromeDogs,Blurple 1.0,7,5,neutral,neutral,,DeckA,3,20,3,1,neutral,neutral
2025-09-08T16:57:21.691003,Blurple 1.0,ChromeDogs,4,0,neutral,neutral,,DeckA,3,20,3,15,neutral,neutral
2025-09-08T16:58:36.623584,ChromeDogs,Blurple 1.0,2,5,neutral,neutral,,DeckA,3,20,3,13,neutral,neutral
2025-09-08T16:59:50.859676,Blurple 1.0,ChromeDogs,5,7,neutral,neutral,,DeckA,3,20,3,18,good,good
2025-09-08T17:05:50.859651,ChromeDogs,Blurple 1.0,5,5,good,good,Played Scrumo too late got tko,DeckB,3,10,3,20,neutral,neutral
2025-09-08T17:10:06.087667,ChromeDogs,Blurple 1.0,0,7,neutral,neutral,,DeckA,3,20,3,0,neutral,neutral
2025-09-08T17:17:18.681774,ChromeDogs,Blurple 1.0,3,5,neutral,neutral,,DeckA,3,20,3,5,neutral,neutral
2025-09-08T17:18:38.865478,Blurple 1.0,ChromeDogs,6,5,neutral,neutral,lady refined recall,DeckB,3,0,3,20,good,good
2025-09-08T17:25:55.253748,Blurple 1.0,ChromeDogs,6,2,good,good,,DeckB,3,5,3,20,neutral,neutral
2025-09-08T17:29:43.649352,Blurple 1.0,ChromeDogs,6,6,bad,bad,,DeckB,3,2,3,20,neutral,neutral
2025-09-08T17:31:16.659232,Blurple 1.0,ChromeDogs,5,2,good,bad,"bad mulligan, need more then 2 ink",DeckA,3,20,3,11,neutral,bad
